score;Epsilon
-135.69427804579212;0.001
-117.20102153263426;0.001
-125.5543117958363;0.001
-109.89699584827324;0.001
-112.39532316195591;0.001
-108.68000233749486;0.001
-113.92090502164388;0.001
-117.62401353083922;0.001
-115.51705952788329;0.001
-119.49142845201803;0.001
-117.91712151844861;0.001
-115.52164012417072;0.001
-116.11037118984198;0.001
-116.1825259747294;0.001
-107.568790592473;0.001
-119.51556260634027;0.001
-115.60624066016449;0.001
-111.92059067705767;0.001
-111.05175080840661;0.001
-110.61977877451974;0.001
-114.86903611091213;0.001
-112.7486961042018;0.001
-115.49158002004026;0.001
-123.58165733978896;0.001
-107.58806701671519;0.001
-118.04148025583537;0.001
-111.28429882219058;0.001
-114.07526407638068;0.001
-135.59719247447208;0.001
-120.66091481390222;0.001
-120.63410063626989;0.001
-120.55424768231808;0.001
-121.10430197968084;0.001
-121.97714864974158;0.001
-110.13600276216366;0.001
-120.65133255904291;0.001
-115.17495724263537;0.001
-115.07903079285657;0.001
-115.31036482306507;0.001
-115.31856840490487;0.001
-118.56129578895803;0.001
-114.60304566083533;0.001
-114.51211262306259;0.001
-91.51632846570486;0.001
-115.36785846695676;0.001
-115.32957978822476;0.001
-115.33593979652845;0.001
-110.73333766982144;0.001
-110.41692435963077;0.001
-110.63406672681245;0.001
-110.6367027636518;0.001
-110.9193896349302;0.001
-110.34579465008153;0.001
-114.2116191802925;0.001
-114.38081095031524;0.001
-114.38603901457103;0.001
-110.25547180944741;0.001
-109.96477485766447;0.001
-115.133870094778;0.001
-115.33647194819399;0.001
-115.13464203585187;0.001
-115.09649410045145;0.001
-115.17204399158183;0.001
-115.17259186622313;0.001
-115.13157338889253;0.001
-115.27480647137202;0.001
-115.31689319027586;0.001
-115.38491030038085;0.001
-115.34769592300802;0.001
-115.34959833252677;0.001
-115.33930984968443;0.001
-115.21239193466428;0.001
-110.67901528737195;0.001
-120.39612366932195;0.001
-120.393720106444;0.001
-111.05291543601203;0.001
-115.54108165915619;0.001
-120.26165742584442;0.001
-114.22582792393428;0.001
-115.3838133201512;0.001
-113.84205854567388;0.001
-120.32884538468593;0.001
-120.29515307953332;0.001
-128.38652362447291;0.001
-120.16704395066263;0.001
-118.14936798430357;0.001
-110.87228866000159;0.001
-119.56875068001138;0.001
-119.61573078007436;0.001
-101.96620810568605;0.001
-121.84136372710577;0.001
-109.62141092706656;0.001
-120.65658120162598;0.001
-120.5130014199602;0.001
-120.45769071901775;0.001
-120.6538947434835;0.001
-120.87293890471383;0.001
-120.63723133947823;0.001
-119.86593047059203;0.001
-115.45661988197514;0.001
-123.99868453566356;0.001
-121.279911395854;0.001
-121.3177924642066;0.001
-117.86397335879131;0.001
-110.82300477720547;0.001
-118.46438895496166;0.001
-114.47456773641022;0.001
-117.11543805842226;0.001
-110.62396459237485;0.001
-117.97032380811062;0.001
-118.09679165371445;0.001
-118.51030338895693;0.001
-120.58148769618757;0.001
-110.9531399929722;0.001
-110.06392892756807;0.001
-110.40228785151986;0.001
-120.38620566249699;0.001
-121.00558607617516;0.001
-120.40792486056064;0.001
-120.44348647162877;0.001
-121.78412345357984;0.001
-110.4944906508016;0.001
-110.02470388322881;0.001
-119.4410324008173;0.001
-117.29485295156326;0.001
-116.3849551737687;0.001
-118.23552205611206;0.001
-115.76741088979442;0.001
-116.29068438207605;0.001
-110.2666422181328;0.001
-110.08530764772617;0.001
-120.52557895198527;0.001
-120.64865231200369;0.001
-120.6861084060582;0.001
-120.52055550854527;0.001
-120.49286656321212;0.001
-120.38212431053569;0.001
-114.91067736396876;0.001
-114.97879704983283;0.001
-120.23409195816515;0.001
-115.63341471792012;0.001
-114.89156348122407;0.001
-115.01711360724953;0.001
-114.11166874277095;0.001
-114.56681100449276;0.001
-107.08565298640107;0.001
-114.73428933908231;0.001
-120.3410469485751;0.001
-119.55722589375947;0.001
-113.4029745540178;0.001
-107.74754508603115;0.001
-114.61127117062546;0.001
-104.14673485174093;0.001
-103.8583093750421;0.001
-109.1853682960514;0.001
-109.2024315314771;0.001
-103.90775608757883;0.001
-111.56612748606317;0.001
-115.63347239441487;0.001
-120.33490970343786;0.001
-120.25921192176453;0.001
-120.14417192310964;0.001
-120.00768430866859;0.001
-115.06203347624775;0.001
-115.03311111585734;0.001
-114.95638346301267;0.001
-115.01925306753441;0.001
-115.18921738895773;0.001
-120.459166160753;0.001
-120.14354363796426;0.001
-120.21620936932351;0.001
-120.4464185147751;0.001
-120.450670377496;0.001
-120.41355191115787;0.001
-120.47499415868272;0.001
-120.25461433672656;0.001
-120.44612421699675;0.001
-120.43072260254434;0.001
-120.26114393178746;0.001
-120.30330677065564;0.001
-120.51877032029877;0.001
-120.46233883530087;0.001
-120.52225272003996;0.001
-120.60622467794889;0.001
-120.4039498210363;0.001
-120.55777969153846;0.001
-109.8946392486474;0.001
-120.56832466550729;0.001
-120.42919871279845;0.001
-120.90605010259833;0.001
-120.9037373044677;0.001
-120.5953297166042;0.001
-115.62526370833316;0.001
-109.8913562628844;0.001
-110.4350711170559;0.001
-120.75791053084842;0.001
-120.75940921948167;0.001
-120.60861407627475;0.001
-120.87972148861672;0.001
-120.87516035276091;0.001
-115.0950890905292;0.001
-115.21383707553024;0.001
-120.43143494208839;0.001
-113.79935245093267;0.001
-120.45412328388107;0.001
-122.54071820373895;0.001
-120.48636944410327;0.001
-114.50143609573753;0.001
-120.23607826365904;0.001
-110.14138693462495;0.001
-120.68063224662653;0.001
-120.66704457475119;0.001
-120.67063618106704;0.001
-120.67465805616166;0.001
-110.72498617870669;0.001
-120.58495283528292;0.001
-120.58018650127946;0.001
-120.58390409287748;0.001
-117.22489220969689;0.001
-115.21780532914212;0.001
-115.25621356455608;0.001
-121.0635231328234;0.001
-110.08058740751567;0.001
-120.79599892365;0.001
-121.1725796080747;0.001
-120.63291994810724;0.001
-121.18536419774591;0.001
-121.09229973835932;0.001
-121.19294894029137;0.001
-120.49943956720766;0.001
-121.17814328359935;0.001
-120.55788844726482;0.001
-120.59974963989853;0.001
-120.62861324058659;0.001
-120.62587894308814;0.001
-120.54457477834012;0.001
-120.67625063272192;0.001
-110.36561599996993;0.001
-120.57239411574105;0.001
-110.64279074672172;0.001
-120.72858541377012;0.001
-120.72479498048436;0.001
-120.73160613719807;0.001
-120.6973894152784;0.001
-111.01672075981396;0.001
-120.65986922831335;0.001
-110.29868693033664;0.001
-117.96455576318067;0.001
-110.30446797580208;0.001
-111.59519147627861;0.001
-111.62955963663569;0.001
-111.674524516087;0.001
-120.62563008851744;0.001
-120.56473766230977;0.001
-120.64942602319022;0.001
-120.71550486863342;0.001
-120.61305825432389;0.001
-120.61160244711922;0.001
-120.49724727448883;0.001
-120.66273232989695;0.001
-120.66189091805741;0.001
-120.66528587421463;0.001
-121.06812478921562;0.001
-121.04899827773681;0.001
-110.34291395216744;0.001
-121.07129234502773;0.001
-110.2477760173318;0.001
-120.62323142466445;0.001
-120.61834688595806;0.001
-120.61372098197228;0.001
-120.62277024707444;0.001
-120.60091490496073;0.001
-120.93768229906695;0.001
-120.62840718421464;0.001
-121.10724025676895;0.001
-120.61409669992824;0.001
-120.67585030579815;0.001
-120.6770558893668;0.001
-120.6788342807119;0.001
-120.68067390022983;0.001
-120.67698463131548;0.001
-120.68517565573441;0.001
-120.68543249610687;0.001
-120.6772431641339;0.001
-120.68109744780881;0.001
-120.67795824843023;0.001
-120.68374945449828;0.001
-120.68277378956041;0.001
-120.68623104281599;0.001
-120.71140099862589;0.001
-120.68301782706254;0.001
-120.65129692941406;0.001
-120.70318098586051;0.001
-120.69145410185493;0.001
-120.68611828381009;0.001
-120.62666485059633;0.001
-120.64071755162378;0.001
-120.62298442033182;0.001
-120.71921816822079;0.001
-120.75440109230826;0.001
-120.61141987678346;0.001
-120.59501413399167;0.001
-120.55520482568753;0.001
-120.60571686996892;0.001
-120.55269929834392;0.001
-120.55875993524614;0.001
-120.6330295361361;0.001
-120.60025063829123;0.001
-116.0921804302223;0.001
-111.89082436129635;0.001
-120.38320538886326;0.001
-120.49074452980358;0.001
-109.8886008300514;0.001
-110.90172392775675;0.001
-120.55910730614885;0.001
-120.54797332286213;0.001
-120.55674475987068;0.001
-115.79842979968085;0.001
-116.14531228746722;0.001
-116.14758368861985;0.001
-110.69840697984581;0.001
-110.50409440886538;0.001
-120.53125627560789;0.001
-111.73162945771402;0.001
-116.55480615048545;0.001
-116.08456391797773;0.001
-116.08198809068091;0.001
-110.73971323127981;0.001
-111.53974342060894;0.001
-116.08447944462485;0.001
-116.11904277693418;0.001
-116.11809395628298;0.001
-111.91407723792703;0.001
-110.59243462580626;0.001
-110.78642524717995;0.001
-119.80648232218185;0.001
-111.76259606144325;0.001
-116.51450616642336;0.001
-116.13465146621627;0.001
-116.00651973411502;0.001
-111.55812692226405;0.001
-116.07578139949341;0.001
-116.0790085609698;0.001
-116.04176422507688;0.001
-111.87224034241275;0.001
-116.02963263057792;0.001
-116.57271542200445;0.001
-110.8067266112423;0.001
-116.03702827556057;0.001
-116.07173018448862;0.001
-116.0751359637007;0.001
-111.87073529245828;0.001
-111.77365508777646;0.001
-111.54008394118645;0.001
-111.7889925416354;0.001
-110.48860228951644;0.001
-109.93253145210441;0.001
-111.90837143670021;0.001
-111.57552434896428;0.001
-111.67258319380505;0.001
-120.37540131938209;0.001
-120.74078557239224;0.001
-134.52740594408166;0.001
-109.81683711547713;0.001
-111.55249521743877;0.001
-111.4377486722407;0.001
-120.55827207169432;0.001
-120.96939969601854;0.001
-120.49971672789566;0.001
-120.67656627154535;0.001
-120.6301935010689;0.001
-111.87826341118041;0.001
-111.73943126870256;0.001
-111.8492360566755;0.001
-121.27957761973141;0.001
-120.57848886120007;0.001
-120.63852935806847;0.001
-120.6496011525796;0.001
-120.71465934705796;0.001
-120.70819603979152;0.001
-120.71601698494702;0.001
-121.44943400897148;0.001
-120.66120244478682;0.001
-120.54231368947897;0.001
-120.6581659800671;0.001
-120.57852649900751;0.001
-112.36089419938808;0.001
-112.38228726456313;0.001
-121.2823682670469;0.001
-111.64650731432995;0.001
-111.75557418957226;0.001
-112.02595457122224;0.001
-112.0705755432608;0.001
-111.70127008072657;0.001
-120.4650108697048;0.001
-120.44911365439245;0.001
-120.9303709679693;0.001
-120.92262458317974;0.001
-120.85034930534226;0.001
-120.53524415824685;0.001
-111.73012729773916;0.001
-109.7783516093691;0.001
-111.6860700077495;0.001
-111.89648864248704;0.001
-111.41232753735655;0.001
-120.44302301076738;0.001
-120.43981145630653;0.001
-111.6883216923798;0.001
-111.57805156909673;0.001
-111.78288541467982;0.001
-120.60535940624587;0.001
-111.82453356186672;0.001
-111.2575774975661;0.001
-111.20934870030668;0.001
-120.64198953047705;0.001
-111.09607372236562;0.001
-115.89918689224433;0.001
-120.48248745431192;0.001
-120.343928851466;0.001
-120.47731424076483;0.001
-115.25336640356728;0.001
-111.70304382657817;0.001
-116.61037702685222;0.001
-111.26783802331485;0.001
-111.67627900483023;0.001
-111.79350817356753;0.001
-112.36886584516552;0.001
-111.80041886524731;0.001
-111.1554102221423;0.001
-111.34965274694747;0.001
-111.84165116414115;0.001
-111.34990600840248;0.001
-111.00582656535691;0.001
-110.85178859322082;0.001
-111.36225693356927;0.001
-111.24225739014767;0.001
-111.55550279331888;0.001
-115.12988240637257;0.001
-111.82477017421274;0.001
-110.97349731179388;0.001
-111.79648756468791;0.001
-111.53954820206263;0.001
-111.06711171448663;0.001
-111.31712636057844;0.001
-120.3994378528918;0.001
-111.06288699439664;0.001
-120.3440839420532;0.001
-116.58102955242059;0.001
-116.13547361960075;0.001
-120.52222956779102;0.001
-110.69441414941349;0.001
-121.15508641331519;0.001
-110.27804352278073;0.001
-112.03156010574908;0.001
-112.22261920835325;0.001
-111.65060280236725;0.001
-111.6484482265512;0.001
-111.67672323160492;0.001
-109.00243962184213;0.001
-120.66926593445676;0.001
-112.77255976201654;0.001
-111.17552341146951;0.001
-112.27059986681614;0.001
-120.58824578638436;0.001
-111.68401861269584;0.001
-120.55254376397095;0.001
-120.54875966905492;0.001
-120.96657995191403;0.001
-116.63712525592805;0.001
-116.12685108705858;0.001
-116.59946524105592;0.001
-108.85939107587248;0.001
-120.47858887771145;0.001
-120.46014507836662;0.001
-120.43086812252923;0.001
-120.62153679810153;0.001
-120.40652626444896;0.001
-115.1566555326792;0.001
-120.56258242861304;0.001
-111.60337841881747;0.001
-120.31000567909516;0.001
-120.31059403995859;0.001
-120.47019172665166;0.001
-120.44665218956395;0.001
-120.5376183942991;0.001
-120.53575093692851;0.001
-120.46501572536677;0.001
-120.53392228457703;0.001
-120.5370080974518;0.001
-120.5927962837635;0.001
-120.50814335663429;0.001
-120.50781607904099;0.001
-120.49263157304314;0.001
-120.50271680986756;0.001
-120.49359955224146;0.001
-120.49306079695559;0.001
-120.5025360831519;0.001
-111.44626532385124;0.001
-120.59985702343036;0.001
-111.33425965896186;0.001
-111.98503756444589;0.001
-112.08894699887557;0.001
-112.27314433064373;0.001
-120.59718550342694;0.001
-120.4285687743475;0.001
-120.53932969921951;0.001
-120.54034824263677;0.001
-120.97518859882715;0.001
-120.44965058833608;0.001
-120.59179638040438;0.001
-120.48827851753495;0.001
-111.73436821079376;0.001
-120.63416699498954;0.001
-110.11868378447491;0.001
-120.56956474523929;0.001
-110.76897462429352;0.001
-120.47055317691155;0.001
-112.60441933533983;0.001
-112.81871244881549;0.001
-112.41808802982108;0.001
-111.70754407988424;0.001
-109.43973323731556;0.001
-111.86297356556851;0.001
-111.8993409746376;0.001
-110.7901528767701;0.001
-112.0477239223613;0.001
-111.9598234940941;0.001
-111.8123572045372;0.001
-111.51337881005057;0.001
-111.74948324895027;0.001
-120.47977950904084;0.001
-111.44195159009035;0.001
-111.46818792375238;0.001
-112.56804757675465;0.001
-110.80718283113151;0.001
-111.56486558520606;0.001
-111.6696325283665;0.001
-120.58408361372102;0.001
-120.57942991844875;0.001
-111.5921053123058;0.001
-120.31803597813595;0.001
-111.5426632043508;0.001
-111.70363305575523;0.001
-120.46615407068406;0.001
-109.57517811235846;0.001
-110.33461893764198;0.001
-111.02764704885332;0.001
-111.75107827838136;0.001
-112.19487720233822;0.001
-111.4988746105662;0.001
-119.92586821876466;0.001
-120.15750863811249;0.001
-111.11742801460622;0.001
-120.50073036626975;0.001
-120.07801591790157;0.001
-111.4580413406994;0.001
-112.17235256052201;0.001
-111.09815380387255;0.001
-111.43833958781012;0.001
-111.26494637365327;0.001
-111.9444846637404;0.001
-111.53255655241632;0.001
-110.85232956803526;0.001
-120.51307135422465;0.001
-120.49692884741599;0.001
-120.44447585168854;0.001
-120.50951174869574;0.001
-120.47757109648299;0.001
-111.88583397145754;0.001
-112.42407903667663;0.001
-111.80212000746278;0.001
-112.30476228417392;0.001
-112.08877334921308;0.001
-111.78858122898203;0.001
-112.29448743330127;0.001
-111.28675047238107;0.001
-111.65050540171376;0.001
-112.02455750395046;0.001
-112.31549051333218;0.001
-120.40654209749711;0.001
-112.02143542640468;0.001
-111.50117740306443;0.001
-120.55064831276175;0.001
-120.5527765926073;0.001
-111.9118151063478;0.001
-111.98021524175627;0.001
-111.98684586336338;0.001
-111.9698234338636;0.001
-112.26564674432325;0.001
-111.6670972012511;0.001
-111.93362150213679;0.001
-110.85027231317508;0.001
-112.05912616540738;0.001
-111.63035997553044;0.001
-111.80724370106805;0.001
-112.36452983034835;0.001
-120.47927200496135;0.001
-120.47248034331264;0.001
-120.4887929362754;0.001
-120.48267377956397;0.001
-120.69698356532243;0.001
-111.5701005542663;0.001
-111.57060250506673;0.001
-116.75804273854692;0.001
-120.97800429981699;0.001
-113.60782360115645;0.001
-120.2847758967001;0.001
-120.28787709741914;0.001
-120.22330765476264;0.001
-111.44197953734856;0.001
-112.33810017386823;0.001
-111.98531512962404;0.001
-112.03651570090712;0.001
-116.54650820235038;0.001
-111.59273238285816;0.001
-120.5497232210245;0.001
-120.43080191798941;0.001
-120.52849141891113;0.001
-120.43994920975962;0.001
-111.74781579064017;0.001
-120.4416919442558;0.001
-120.42883545918762;0.001
-120.62585534065775;0.001
-120.44768969160442;0.001
-120.54091185240695;0.001
-120.58053106303822;0.001
-120.53931454393081;0.001
-113.46335146177249;0.001
-112.75413763103695;0.001
-113.28019566364833;0.001
-112.27663205507334;0.001
-112.37066489608833;0.001
-112.20868627420252;0.001
-120.49812725369446;0.001
-120.45449062511263;0.001
-120.50058446549748;0.001
-120.08438717510737;0.001
-113.12770506763145;0.001
-120.34118827427116;0.001
-120.23458387728469;0.001
-120.31120477005777;0.001
-120.24054411201116;0.001
-120.42541059608943;0.001
-120.583536143496;0.001
-120.44610713000037;0.001
-120.44804719708176;0.001
-120.60868701952259;0.001
-120.18439513145759;0.001
-120.47048115848128;0.001
-120.55610389944351;0.001
-119.91098214815743;0.001
-120.48716618007793;0.001
-120.38581124145661;0.001
-120.46502610414909;0.001
-120.48651384299808;0.001
-120.39108837902856;0.001
-120.30187796164924;0.001
-120.45553711703357;0.001
-120.39132277072407;0.001
-120.25345921122033;0.001
-120.47583210649279;0.001
-120.71032597674554;0.001
-120.47498295752517;0.001
-120.44447708960683;0.001
-120.45305637627591;0.001
-120.29013142876947;0.001
-120.44659892128531;0.001
-120.44163735032764;0.001
-120.65547554584406;0.001
-120.2329404606577;0.001
-120.24840148850218;0.001
-120.23067758816914;0.001
-120.41280635146113;0.001
-111.24649597554217;0.001
-111.61266412023764;0.001
-111.88004140258951;0.001
-111.59417883366469;0.001
-111.6421637328981;0.001
-112.13117193489707;0.001
-120.66634131542592;0.001
-112.18444423173366;0.001
-112.02760536487648;0.001
-111.96375276252502;0.001
-116.70870148190482;0.001
-120.19201085347495;0.001
-120.37547711118931;0.001
-112.76647698347394;0.001
-112.1404576859921;0.001
-112.11467577951461;0.001
-111.66836482538778;0.001
-111.66410494929241;0.001
-120.20063890068046;0.001
-110.68363210967927;0.001
-120.77124381014579;0.001
-120.52273540034766;0.001
-120.77449091783538;0.001
-120.66162667210772;0.001
-120.71571096815664;0.001
-120.79199745334623;0.001
-120.48467739675007;0.001
-120.41693317428044;0.001
-120.4272423294677;0.001
-120.68521241254234;0.001
-120.6947152571945;0.001
-120.645113155627;0.001
-115.42597137513943;0.001
-116.14035604936815;0.001
-120.76295404795184;0.001
-120.7454340256943;0.001
-120.74192781094834;0.001
-116.05312398878236;0.001
-120.57083303402675;0.001
-120.4184883462203;0.001
-120.37976988003899;0.001
-120.46999651407761;0.001
-120.50871895669586;0.001
-120.62931084877003;0.001
-120.64060160093318;0.001
-120.63248573110997;0.001
-120.24261134367622;0.001
-120.56279788323988;0.001
-120.5484869254219;0.001
-120.65130124181508;0.001
-120.3506183070944;0.001
-120.2626418522913;0.001
-120.04432409538578;0.001
-111.65233393755554;0.001
-120.26519715935922;0.001
-120.36742700860401;0.001
-111.6635630558164;0.001
-112.33987276344745;0.001
-111.85605991048364;0.001
-111.96863748208432;0.001
-112.51560950953512;0.001
-112.558370860838;0.001
-112.26265905090295;0.001
-111.26277400678208;0.001
-111.71392684985261;0.001
-120.61797862785;0.001
-120.52116815708453;0.001
-111.89162388444753;0.001
-120.54813606164666;0.001
-112.07139912761063;0.001
-120.63811009846441;0.001
-112.06863741862897;0.001
-112.08065027301322;0.001
-120.86529917358854;0.001
-120.1919099697421;0.001
-111.17591714332065;0.001
-120.15259175488353;0.001
-120.63528508548004;0.001
-120.31060552903264;0.001
-120.52317144339345;0.001
-120.51534349576818;0.001
-120.49745964223644;0.001
-120.4856284855598;0.001
-120.48358237521846;0.001
-120.65845063410947;0.001
-120.49245228900263;0.001
-120.3274963582394;0.001
-120.33558837600611;0.001
-120.33264732567221;0.001
-120.25674746538326;0.001
-120.33172831238807;0.001
-120.5138941776982;0.001
-120.5271241860818;0.001
-120.63718575659705;0.001
-120.63519304860257;0.001
-120.0713465854836;0.001
-120.25953589846876;0.001
-120.2234955004975;0.001
-120.31760844856748;0.001
-120.48151068938337;0.001
-120.3502483005834;0.001
-120.46847001094184;0.001
-112.30726269987596;0.001
-111.08125195762389;0.001
-120.23186349620794;0.001
-120.2224817404095;0.001
-113.4608938723436;0.001
-112.50561096198669;0.001
-120.51158809493606;0.001
-111.38426776494643;0.001
-111.82916659908119;0.001
-111.49437634141121;0.001
-111.36751106394205;0.001
-112.02408406038705;0.001
-112.23489807504973;0.001
-111.93644040902826;0.001
-111.82129604711692;0.001
-120.32242898002391;0.001
-120.32449619203929;0.001
-120.26736676712024;0.001
-111.7681714085005;0.001
-112.21255416546326;0.001
-120.27289998969498;0.001
-111.69159274734679;0.001
-112.9968460820044;0.001
-112.99694472179311;0.001
-112.39123625612133;0.001
-111.8012233237239;0.001
-120.20858102060419;0.001
-119.93797957077001;0.001
-120.29620298410951;0.001
-120.29696871768559;0.001
-120.20549485964762;0.001
-120.02324721236216;0.001
-120.01158486922272;0.001
-120.07052508721873;0.001
-120.17877778498766;0.001
-120.1012794167002;0.001
-120.10568599103763;0.001
-119.98092404523678;0.001
-119.99311773241932;0.001
-121.22214225694475;0.001
-115.95777967388742;0.001
-115.91598925132367;0.001
-115.95253007994778;0.001
-115.88681859542429;0.001
-115.94860277360863;0.001
-115.95188761475309;0.001
-115.44227082213821;0.001
-115.48425995961328;0.001
-115.26759768269956;0.001
-115.26459711658458;0.001
-115.15336154117621;0.001
-115.27302649828108;0.001
-115.20395707044439;0.001
-115.78110752138619;0.001
-115.76118642332652;0.001
-115.16821153418843;0.001
-115.37384954547447;0.001
-115.9788048203544;0.001
-115.85555694273735;0.001
-115.89438853903177;0.001
-115.91959106533353;0.001
-121.24671416388576;0.001
-121.41234653917576;0.001
-120.67495324756516;0.001
-115.02792959356867;0.001
-115.81783068730371;0.001
-115.86032270389981;0.001
-115.87143674396847;0.001
-115.86010032517896;0.001
-115.90166184997186;0.001
-117.58856087574921;0.001
-116.0429722042363;0.001
-116.1012351808107;0.001
-119.98762216214028;0.001
-120.06787457678715;0.001
-120.57988840238563;0.001
-120.4930066163546;0.001
-120.63179299364114;0.001
-120.53372300087102;0.001
-120.50233338459643;0.001
-120.48556330238097;0.001
-120.47995691859721;0.001
-120.47486176431737;0.001
-110.9154465485302;0.001
-120.43237114829631;0.001
-120.5619433938004;0.001
-120.55523713761382;0.001
-120.5492406785277;0.001
-120.46126018601097;0.001
-120.55509478200909;0.001
-120.53141589273326;0.001
-120.61537362756144;0.001
-120.37376075188257;0.001
-120.15647580936054;0.001
-120.66263499679975;0.001
-120.61375205572631;0.001
-120.60525959759082;0.001
-120.06604501928885;0.001
-120.61044698353918;0.001
-120.00602607400467;0.001
-120.32771945478767;0.001
-120.32602683010262;0.001
-120.33332521481812;0.001
-120.3284142470397;0.001
-112.12523908786598;0.001
-111.65275256454385;0.001
-113.14145101971053;0.001
-112.1010012005673;0.001
-120.22532507154222;0.001
-120.20930542515342;0.001
-112.38413367999468;0.001
-112.38511277390705;0.001
-120.21826908634416;0.001
