score;Epsilon
-200.0;0.19827934071101228
-200.0;0.19357700810298611
-200.0;0.18898619458654664
-200.0;0.18450425540879678
-200.0;0.18012860853899568
-200.0;0.17585673318105893
-200.0;0.17168616832133665
-200.0;0.16761451131083083
-200.0;0.1636394164810369
-200.0;0.1597585937926123
-200.0;0.155969807516092
-200.0;0.15227087494389102
-200.0;0.14865966513285517
-200.0;0.14513409767663024
-200.0;0.1416921415071472
-200.0;0.13833181372453043
-200.0;0.13505117845475545
-200.0;0.13184834573439794
-200.0;0.12872147042183174
-200.0;0.12566875113424927
-200.0;0.1226884292098902
-200.0;0.11977878769488212
-200.0;0.11693815035410937
-200.0;0.11416488070553896
-200.0;0.11145738107744854
-200.0;0.1088140916880131
-200.0;0.10623348974671938
-199.0;0.10372653576138265
-170.0;0.10163182742025588
-166.0;0.09962723318839152
-200.0;0.097264503992353
-200.0;0.09495780856414227
-200.0;0.09270581802394433
-170.0;0.09083366786622132
-200.0;0.08867948419392187
-200.0;0.08657638848716454
-200.0;0.08452316915927846
-168.0;0.08283614320762425
-177.0;0.08109515382724446
-200.0;0.07917192579538128
-200.0;0.07729430845525474
-200.0;0.07546122011755584
-200.0;0.0736716047459908
-147.0;0.07238335610199599
-160.0;0.07100677058004981
-153.0;0.06971490438190536
-134.0;0.06860278737615759
-158.0;0.06731425510236692
-200.0;0.06571785067809474
-200.0;0.06415930609616874
-121.0;0.06323438862729622
-154.0;0.062076479683133505
-164.0;0.060866685398068825
-166.0;0.05966614606350443
-118.0;0.05882717701591274
-200.0;0.0574320495572067
-165.0;0.05630601197405568
-117.0;0.05552095247585208
-94.0;0.05489815792874722
-116.0;0.05413922446570935
-118.0;0.05337796977466553
-117.0;0.052633735177021954
-123.0;0.05186252053807743
-167.0;0.05083347931638019
-147.0;0.04994458649227714
-95.0;0.04937841753049463
-140.0;0.048555740591101175
-126.0;0.04782705680397333
-115.0;0.04717153757450273
-122.0;0.04648593597726915
-147.0;0.04567306588717093
-161.0;0.04479907970748391
-157.0;0.04396291626862799
-162.0;0.04311648040387052
-119.0;0.0425051159131907
-165.0;0.04167174224180938
-119.0;0.04108086322680707
-200.0;0.04010660195468173
-162.0;0.039334413274100095
-155.0;0.038609512172542514
-157.0;0.03788887543889659
-151.0;0.03720847127033402
-166.0;0.036474568429282296
-158.0;0.035789484624508885
-156.0;0.03512569807221908
-155.0;0.034478360153432884
-161.0;0.03381859252699821
-124.0;0.03331906758105178
-118.0;0.03285056629113494
-87.0;0.032509370050445484
-171.0;0.031849036351753436
-167.0;0.03121709692927149
-164.0;0.030608714081949626
-119.0;0.030174701826779633
-122.0;0.029736136012896347
-99.0;0.02938493988062548
-93.0;0.029058807586487868
-92.0;0.02873974368013497
-116.0;0.028342434298164566
-92.0;0.02803123612611953
-126.0;0.027610566869516757
-122.0;0.02720926876223399
-198.0;0.026570358513739328
-89.0;0.026288080197252612
-188.0;0.025701625997862066
-93.0;0.025416373406439336
-157.0;0.024941983255357167
-162.0;0.024461765131597743
-110.0;0.024140972473634115
-125.0;0.023781538812298834
-108.0;0.02347530040609466
-101.0;0.023192480148636715
-157.0;0.022759598400098415
-142.0;0.02237503753348645
-127.0;0.022036607046176087
-110.0;0.021747618017428055
-114.0;0.021452118696623206
-90.0;0.021221668657735202
-130.0;0.020893159946236677
-94.0;0.020658795341415365
-113.0;0.020380536241355537
-114.0;0.02010361236803145
-200.0;0.019626841204488512
-149.0;0.01927901128017594
-152.0;0.018930529025362887
-108.0;0.018686757792429443
-118.0;0.01842400223635573
-169.0;0.018054104715811096
-115.0;0.017806654556780897
-154.0;0.017480590131639735
-152.0;0.017164615656807585
-86.0;0.01698837720337295
-127.0;0.01673142189025022
-116.0;0.01650012021391352
-133.0;0.016238853076885672
-119.0;0.016008596385068973
-124.0;0.015772137897402873
-139.0;0.01551122504503031
-186.0;0.015168829309639477
-118.0;0.014955539544528055
-122.0;0.014738172413278116
-115.0;0.014536170532548673
-125.0;0.014319742258914947
-111.0;0.014130256698240962
-89.0;0.013980139601768889
-112.0;0.013793492405348315
-87.0;0.013650228885536382
-114.0;0.013464754165441782
-125.0;0.013264278153385935
-102.0;0.013102903334843385
-111.0;0.012929519558797141
-132.0;0.012726317386764838
-138.0;0.012517292531963624
-135.0;0.012316134106028418
-131.0;0.0121240268704127
-104.0;0.011973650294011349
-158.0;0.011748755134076784
-112.0;0.011591898888740744
-110.0;0.011439882219650836
-159.0;0.011223665560332571
-116.0;0.011068505247253618
-116.0;0.010915489930622172
-109.0;0.010773636554583663
-116.0;0.010624697617315606
-100.0;0.01049795561424559
-126.0;0.01034041111052751
-156.0;0.0101486278000851
-119.0;0.01000472666047489
-115.0;0.01
-107.0;0.01
-108.0;0.01
-166.0;0.01
-170.0;0.01
-115.0;0.01
-112.0;0.01
-116.0;0.01
-113.0;0.01
-106.0;0.01
-97.0;0.01
-129.0;0.01
-108.0;0.01
-111.0;0.01
-88.0;0.01
-166.0;0.01
-102.0;0.01
-118.0;0.01
-129.0;0.01
-118.0;0.01
-125.0;0.01
-137.0;0.01
-118.0;0.01
-116.0;0.01
-115.0;0.01
-92.0;0.01
-127.0;0.01
-141.0;0.01
-92.0;0.01
-113.0;0.01
-140.0;0.01
-143.0;0.01
-160.0;0.01
-160.0;0.01
-96.0;0.01
-154.0;0.01
-117.0;0.01
-93.0;0.01
-172.0;0.01
-110.0;0.01
-132.0;0.01
-119.0;0.01
-116.0;0.01
-97.0;0.01
-112.0;0.01
-163.0;0.01
-93.0;0.01
-95.0;0.01
-115.0;0.01
-108.0;0.01
-112.0;0.01
-99.0;0.01
-87.0;0.01
-116.0;0.01
-85.0;0.01
-119.0;0.01
-115.0;0.01
-88.0;0.01
-124.0;0.01
-116.0;0.01
-108.0;0.01
-94.0;0.01
-112.0;0.01
-121.0;0.01
-112.0;0.01
-101.0;0.01
-107.0;0.01
-114.0;0.01
-116.0;0.01
-107.0;0.01
-119.0;0.01
-113.0;0.01
-119.0;0.01
-90.0;0.01
-116.0;0.01
-94.0;0.01
-90.0;0.01
-86.0;0.01
-111.0;0.01
-93.0;0.01
-111.0;0.01
-89.0;0.01
-147.0;0.01
-93.0;0.01
-115.0;0.01
-101.0;0.01
-114.0;0.01
-91.0;0.01
-116.0;0.01
-157.0;0.01
-119.0;0.01
-124.0;0.01
-113.0;0.01
-167.0;0.01
-118.0;0.01
-112.0;0.01
-157.0;0.01
-115.0;0.01
-119.0;0.01
-200.0;0.01
-113.0;0.01
-99.0;0.01
-88.0;0.01
-143.0;0.01
-114.0;0.01
-101.0;0.01
-89.0;0.01
-115.0;0.01
-118.0;0.01
-111.0;0.01
-113.0;0.01
-105.0;0.01
-106.0;0.01
-181.0;0.01
-97.0;0.01
-113.0;0.01
-89.0;0.01
-108.0;0.01
-90.0;0.01
-120.0;0.01
-114.0;0.01
-118.0;0.01
-131.0;0.01
-154.0;0.01
-89.0;0.01
-154.0;0.01
-142.0;0.01
-89.0;0.01
-87.0;0.01
-96.0;0.01
-163.0;0.01
-120.0;0.01
-112.0;0.01
-118.0;0.01
-109.0;0.01
-140.0;0.01
-97.0;0.01
-113.0;0.01
-116.0;0.01
-113.0;0.01
-90.0;0.01
-89.0;0.01
-148.0;0.01
-166.0;0.01
-98.0;0.01
-117.0;0.01
-94.0;0.01
-116.0;0.01
-97.0;0.01
-89.0;0.01
-160.0;0.01
-108.0;0.01
-114.0;0.01
-133.0;0.01
-95.0;0.01
-105.0;0.01
-110.0;0.01
-92.0;0.01
-118.0;0.01
-113.0;0.01
-200.0;0.01
-194.0;0.01
-91.0;0.01
-122.0;0.01
-147.0;0.01
-99.0;0.01
-117.0;0.01
-90.0;0.01
-107.0;0.01
-166.0;0.01
-112.0;0.01
-120.0;0.01
-110.0;0.01
-169.0;0.01
-124.0;0.01
-111.0;0.01
-116.0;0.01
-116.0;0.01
