score;Epsilon
-110.59170721596573;0.00099
-97.13210806805704;0.00099
-97.36374175235878;0.00099
-97.44620679600288;0.00099
-97.14163041113255;0.00099
-97.17950387500723;0.00099
-97.22967409070768;0.00099
-97.42964163035465;0.00099
-97.27098897983072;0.00099
-97.342603009535;0.00099
-97.16055754852482;0.00099
-97.07735372612564;0.00099
-97.24524159556131;0.00099
-97.11375228447032;0.00099
-97.24909347005996;0.00099
-97.09485405053323;0.00099
-97.20063477865234;0.00099
-97.15105606689491;0.00099
-97.14200662984017;0.00099
-97.36953796591176;0.00099
-97.21235133391309;0.00099
-97.24864900976668;0.00099
-97.18304636350088;0.00099
-97.25730984211962;0.00099
-97.32739604453805;0.00099
-97.15378610424511;0.00099
-97.1846090042175;0.00099
-97.25182760192764;0.00099
-97.55117902255184;0.00099
-97.12376382174965;0.00099
-97.18141678434486;0.00099
-97.10110621413837;0.00099
-97.18007617513153;0.00099
-97.29890697452488;0.00099
-97.3330621661457;0.00099
-97.16000327371124;0.00099
-97.1532759004378;0.00099
-97.19656441268512;0.00099
-97.19715315687594;0.00099
-97.11969873840984;0.00099
-97.0872073379811;0.00099
-97.12393176109593;0.00099
-96.95569409520179;0.00099
-97.25063509920798;0.00099
-97.36931494585549;0.00099
-97.24854683677293;0.00099
-97.13504665597404;0.00099
-97.2757198985188;0.00099
-97.29371451867868;0.00099
-97.35436643116672;0.00099
-97.20367195808453;0.00099
-97.20366845167615;0.00099
-97.2120963479591;0.00099
-97.31767449088643;0.00099
-97.22604662865959;0.00099
-97.32219237261887;0.00099
-97.28960723284446;0.00099
-96.8800351601572;0.00099
-97.35543994078724;0.00099
-97.36836209774204;0.00099
-97.29686632010403;0.00099
-97.2229635662449;0.00099
-97.27558043152032;0.00099
-97.31716380449882;0.00099
-97.25567912079518;0.00099
-97.38466368484622;0.00099
-97.35842916106495;0.00099
-97.17828377006639;0.00099
-97.19073331701632;0.00099
-97.33023672955422;0.00099
-97.03065444702469;0.00099
-97.2047221624547;0.00099
-97.40696158751038;0.00099
-97.77665846772493;0.00099
-97.46695923520066;0.00099
-97.48018739388945;0.00099
-97.32414125556437;0.00099
-97.636176721481;0.00099
-97.43729065308409;0.00099
-97.68882631952751;0.00099
-97.87873174543866;0.00099
-97.61006766775934;0.00099
-97.31650750636993;0.00099
-97.7946667407987;0.00099
-97.43224328143087;0.00099
-97.73690539757784;0.00099
-97.39106613645455;0.00099
-97.50536953879272;0.00099
-97.7142993997677;0.00099
-97.32563379652674;0.00099
-97.49682881867824;0.00099
-97.41112650177938;0.00099
-97.54200034327744;0.00099
-97.48265495978048;0.00099
-97.42362558110618;0.00099
-97.53282748900975;0.00099
-97.67260512386697;0.00099
-97.54239650165786;0.00099
-97.97075352211235;0.00099
-97.57206058324253;0.00099
-97.69974859084127;0.00099
-97.57609226517815;0.00099
-97.4165579616713;0.00099
-97.49839095683335;0.00099
-97.66867604114302;0.00099
-97.42395062649933;0.00099
-97.48295197714059;0.00099
-97.45454229908562;0.00099
-97.49822049034326;0.00099
-97.40996955238344;0.00099
-97.429939526019;0.00099
-97.43567848349363;0.00099
-97.59905815383668;0.00099
-97.77038814969734;0.00099
-97.55832081305608;0.00099
-97.54150270051758;0.00099
-97.82490303076555;0.00099
-97.86516930384313;0.00099
-97.48296552309705;0.00099
-97.34881867132026;0.00099
-97.76826138511362;0.00099
-97.39224094382674;0.00099
-97.88082365424498;0.00099
-97.32774443937342;0.00099
-97.65166750479241;0.00099
-97.40315767201099;0.00099
-97.26378162546207;0.00099
-97.66002978513825;0.00099
-97.78355086529069;0.00099
-97.69022186556832;0.00099
-97.77307393530135;0.00099
-97.44856777738035;0.00099
-97.61563496047383;0.00099
-97.77248544381993;0.00099
-97.86668162669676;0.00099
-97.67848313790188;0.00099
-97.48377264541699;0.00099
-98.09483959210664;0.00099
-98.20355403789009;0.00099
-98.09016965653002;0.00099
-98.10902579806994;0.00099
-97.59870624618294;0.00099
-97.5047339988562;0.00099
-97.48905962602112;0.00099
-97.43343729851271;0.00099
-97.74557471201818;0.00099
-97.46570812351506;0.00099
-97.42781031953916;0.00099
-97.84021273595282;0.00099
-97.5023585497352;0.00099
-97.55272327211313;0.00099
-97.84306585491201;0.00099
-97.4818394458027;0.00099
-97.55239334381683;0.00099
-97.47809556001921;0.00099
-97.6145596184656;0.00099
-98.1585354508826;0.00099
-98.1278085317767;0.00099
-97.94791472155228;0.00099
-97.76423618676701;0.00099
-97.94356881901064;0.00099
-97.66228876530876;0.00099
-97.86081003560561;0.00099
-97.42376539783739;0.00099
-97.71127905715196;0.00099
-98.16261625686661;0.00099
-97.48940627320856;0.00099
-98.09964607909508;0.00099
-98.00384059111154;0.00099
-97.71064934909033;0.00099
-97.88485485312715;0.00099
-97.1689753780992;0.00099
-97.67941683999139;0.00099
-97.97290584165107;0.00099
-98.04916866992414;0.00099
-98.08282471042003;0.00099
-97.86105307325163;0.00099
-97.33958671927638;0.00099
-97.44968637135997;0.00099
-97.44723371247203;0.00099
-97.50606757824185;0.00099
-97.57234541604606;0.00099
-97.5631464041515;0.00099
-97.54312862138202;0.00099
-97.69650796713928;0.00099
-97.91803691023465;0.00099
-97.47170525916107;0.00099
-97.82335640040475;0.00099
-97.44699542680756;0.00099
-97.49172836340902;0.00099
-97.4543305208087;0.00099
-97.27269882469439;0.00099
-97.51446313450361;0.00099
-97.5101267391673;0.00099
-97.54928256525287;0.00099
-97.88452200699722;0.00099
-97.80096419467654;0.00099
-97.78553043035853;0.00099
-97.92577455425139;0.00099
-97.91677785617735;0.00099
-97.83104103743162;0.00099
-97.658841021788;0.00099
-97.59036572584324;0.00099
-97.84190506469956;0.00099
-97.9202177981995;0.00099
-97.85352058954413;0.00099
-97.53346779413211;0.00099
-97.84904039151843;0.00099
-97.64258632067964;0.00099
-97.77290538722339;0.00099
-97.91370486643973;0.00099
-97.88417581266538;0.00099
-97.8436128565371;0.00099
-97.96022136483528;0.00099
-97.80782038833325;0.00099
-97.47486649477482;0.00099
-98.09407912434824;0.00099
-97.87673133618944;0.00099
-97.86902380866123;0.00099
-97.86560069163765;0.00099
-97.75093159451585;0.00099
-97.81941436253923;0.00099
-97.87773804668772;0.00099
-97.84032415505003;0.00099
-98.03979464300598;0.00099
-98.03748802291291;0.00099
-97.77971865114198;0.00099
-97.3389437455088;0.00099
-97.8279036637346;0.00099
-98.07047212938282;0.00099
-98.01305178412672;0.00099
-97.86874883714567;0.00099
-97.72621935847154;0.00099
-97.80465548082503;0.00099
-97.89019020589876;0.00099
-97.72431771131791;0.00099
-97.82215604596895;0.00099
-97.90810265723182;0.00099
-97.82059829510874;0.00099
-97.83987114919474;0.00099
-97.81866874941129;0.00099
-98.17188464093705;0.00099
-98.15935592946224;0.00099
-97.77303356746647;0.00099
-97.80719875699035;0.00099
-97.88065330561624;0.00099
-98.0729234977824;0.00099
-98.13178504396541;0.00099
-97.85503271405771;0.00099
-97.72474340205702;0.00099
-98.11240006735487;0.00099
-97.6551160288;0.00099
-97.61225268755047;0.00099
-97.71741396638379;0.00099
-97.8921966697462;0.00099
-97.76762953371183;0.00099
-97.99585109806434;0.00099
-97.92778761902763;0.00099
-97.71849739198262;0.00099
-97.78850202023425;0.00099
-97.99989471147707;0.00099
-97.71529216214394;0.00099
-97.62226791057053;0.00099
-97.8471533406023;0.00099
-98.00096559459467;0.00099
-98.07580976687558;0.00099
-97.62037888314823;0.00099
-97.63669759249066;0.00099
-98.00281762881887;0.00099
-98.04135351622975;0.00099
-98.1800283821157;0.00099
-97.75791647713694;0.00099
-98.10382840325063;0.00099
-97.91425142246919;0.00099
-97.89394883574607;0.00099
-97.6573574832858;0.00099
-97.86659117304968;0.00099
-98.06670107062968;0.00099
-97.87485007939799;0.00099
-98.19919631177063;0.00099
-98.16169806520269;0.00099
-97.7896681882559;0.00099
-97.9554583718845;0.00099
-97.71797289856833;0.00099
-97.8574076444072;0.00099
-98.17912534075975;0.00099
-98.27953557236059;0.00099
-98.37339915116318;0.00099
-98.32822454356527;0.00099
-98.17455735456075;0.00099
-98.1862070147836;0.00099
-98.20537770037726;0.00099
-98.33107792020093;0.00099
-98.20024580123089;0.00099
-98.20653757440112;0.00099
-98.3005700248039;0.00099
-98.28662357790334;0.00099
-98.29096352317309;0.00099
-98.12457598164306;0.00099
-98.14010986411137;0.00099
-98.29966510297358;0.00099
-98.18000329461384;0.00099
-98.37182527152449;0.00099
-98.26072549822617;0.00099
-98.12416489999308;0.00099
-98.14569615740453;0.00099
-98.23772296172443;0.00099
-98.50718590077634;0.00099
-98.10595599052373;0.00099
-98.10948081332756;0.00099
-98.30228547568309;0.00099
-97.92285005676126;0.00099
-98.1493762820506;0.00099
-98.22791676823547;0.00099
-98.24555699072033;0.00099
-98.23689331202334;0.00099
-98.14269175570459;0.00099
-98.2094635304585;0.00099
-98.3268396743474;0.00099
-98.22892762490424;0.00099
-98.33667513930487;0.00099
-98.10881531264509;0.00099
