avg_score
-224.8
-139.9
-104.5
-120.5
-106.9
-118.8
-140.7
-95.4
-110.1
-105.8
-138.7
-89.6
-99.3
-90.2
-89.1
-85.7
-93.1
-81.0
-88.2
-94.3
-85.9
-127.2
-92.8
-108.5
-85.6
-81.7
-88.9
-87.8
-85.7
-80.6
-94.1
-86.4
-84.0
-77.2
-116.3
-93.2
-79.1
-79.9
-84.6
-87.1
-83.8
-87.2
-92.0
-96.6
-81.6
-89.1
-90.6
-99.7
-89.2
-79.6
-87.0
-87.6
-81.9
-83.1
-91.2
-81.8
-85.8
-86.4
-81.0
-88.1
-77.2
-82.6
-84.7
-88.9
-95.6
-77.7
-77.2
-80.2
-87.6
-83.1
-87.2
-85.1
-75.4
-75.2
-89.2
-77.0
-86.1
-78.8
-90.1
-81.1
-83.5
-79.0
-94.4
-84.2
-88.0
-84.6
-83.7
-92.9
-88.2
-83.6
-76.2
-83.3
-84.0
-78.8
-83.5
-84.1
-89.9
-73.4
-74.8
-80.1
