score;Epsilon
-118.70044777798789;0.00099
-95.02851441182194;0.00099
-95.23332181569684;0.00099
-95.24668581875785;0.00099
-95.1554365495468;0.00099
-95.25605145148931;0.00099
-95.15509671602459;0.00099
-95.43550419285272;0.00099
-95.3917508625568;0.00099
-95.3879152086706;0.00099
-95.47538259656105;0.00099
-95.45504350115668;0.00099
-95.72766106998299;0.00099
-95.4657512812546;0.00099
-95.48651182115947;0.00099
-95.37455519974168;0.00099
-95.24118203963586;0.00099
-95.50119927669749;0.00099
-95.11399974859133;0.00099
-96.31546243822325;0.00099
-95.09905776659771;0.00099
-97.89969585207538;0.00099
-94.32792350156232;0.00099
-95.85381900713777;0.00099
-40.03827595593117;0.00099
-36.60934076635506;0.00099
-39.46375660314122;0.00099
-39.68438992332005;0.00099
-40.188825785734565;0.00099
-39.355293360424135;0.00099
-39.38412948048882;0.00099
-40.19517704972021;0.00099
-40.006191868199224;0.00099
-39.921453638575564;0.00099
-39.67769656260332;0.00099
-40.11747071944079;0.00099
-39.75132572514211;0.00099
-39.62465930335187;0.00099
-39.83431232916959;0.00099
-39.83756846151967;0.00099
-39.78705912837095;0.00099
-39.61671943732745;0.00099
-40.08843697845829;0.00099
-39.669942384961715;0.00099
-39.65237538954139;0.00099
-39.85481993087691;0.00099
-39.690563666343266;0.00099
-39.813656534930935;0.00099
-39.837505875107716;0.00099
-113.25625580147654;0.00099
-118.81964508739239;0.00099
-40.37006538151594;0.00099
-40.181440424415804;0.00099
-39.66892860995812;0.00099
-39.781532886203635;0.00099
-39.56421874566398;0.00099
-36.47570945050727;0.00099
-40.02908157043798;0.00099
-36.692580168522056;0.00099
-39.92217773033841;0.00099
-40.18447405046429;0.00099
-39.958000195045216;0.00099
-36.62140908658669;0.00099
-40.1742415450969;0.00099
-40.18694643701507;0.00099
-36.68251170164569;0.00099
-39.80493433850981;0.00099
-39.82994370411728;0.00099
-36.71935869466034;0.00099
-36.70430478970291;0.00099
-40.115860620388325;0.00099
-39.82596761122117;0.00099
-40.314195293709616;0.00099
-39.88348215230516;0.00099
